meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1219,9161,11,2,2023-09-16T13:02:50.885000+00:00,27.256,39.015,26.292,309,278,False,92.563,"[2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2051, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 0]",300
1219,9161,1,2,2023-09-16T13:03:04.650000+00:00,27.348,39.244,26.27,305,276,False,92.862,"[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2048, 0]",300
1219,9161,55,2,2023-09-16T13:03:14.244000+00:00,27.296,39.411,26.258,311,280,False,92.965,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 0]",302
1219,9161,16,2,2023-09-16T13:03:23.275000+00:00,27.262,39.04,26.221,311,280,False,92.523,"[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049]",301
1219,9161,81,2,2023-09-16T13:03:30.681000+00:00,27.334,39.326,26.242,308,278,False,92.902,"[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 0]",299
1219,9161,63,1,2023-09-16T13:03:31.040000+00:00,,51.687,,246,254,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",[2049],
1219,9161,2,3,2023-09-16T13:03:35.024000+00:00,29.402,42.227,36.358,283,255,False,107.987,"[2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064]",286
1219,9161,44,1,2023-09-16T13:03:37.118000+00:00,,52.424,,250,236,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",[2049],
1219,9161,18,2,2023-09-16T13:03:38.009000+00:00,27.634,49.005,36.318,311,225,False,112.957,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2049, 2049, 2049, 2049, 0]",301
1219,9161,20,3,2023-09-16T13:03:40.540000+00:00,45.321,63.848,,135,216,False,,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[0, 0, 0, 0, 0, 0, 0, 0]",290
1219,9161,27,3,2023-09-16T13:03:47.415000+00:00,45.997,60.921,,147,195,False,,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",223
1219,9161,40,3,2023-09-16T13:03:53.524000+00:00,33.801,49.503,77.169,246,234,False,160.473,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064]",264
1219,9161,77,3,2023-09-16T13:03:59.040000+00:00,39.898,58.946,,191,163,False,,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",211
1219,9161,24,3,2023-09-16T13:04:04.899000+00:00,42.936,58.852,,161,184,False,,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[0, 0, 0, 0, 0, 0, 0, 0]",230
1219,9161,4,3,2023-09-16T13:04:12.352000+00:00,47.299,64.773,,138,140,False,,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[0, 0, 0, 0, 0, 0, 0, 0]",234
1219,9161,11,3,2023-09-16T13:04:23.461000+00:00,46.143,70.009,,140,158,False,,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",217
